month_of_delay,hbt,age_group,number_of_delayed_bed_days,average_daily_number_of_delayed_beds
2017-06-01,S08000026,18plus,86,3
2017-06-01,S08000026,18-74,13,0
2017-06-01,S08000026,75plus,73,2
2017-06-01,S08000028,18plus,470,16
2017-06-01,S08000028,18-74,60,2
2017-06-01,S08000028,75plus,410,14
2017-06-01,S08000029,18plus,2366,79
2017-06-01,S08000029,18-74,655,22
2017-06-01,S08000029,75plus,1711,57
2017-06-01,S08000030,18plus,3083,103
2017-06-01,S08000030,18-74,1378,46
2017-06-01,S08000030,75plus,1705,57
2017-06-01,S08000031,18plus,4413,147
2017-06-01,S08000031,18-74,1831,61
2017-06-01,S08000031,75plus,2582,86
2017-06-01,S08000032,18plus,5868,196
2017-06-01,S08000032,18-74,1708,57
2017-06-01,S08000032,75plus,4160,139
2017-06-01,S92000003,18plus,39252,1308
2017-06-01,S92000003,18-74,12063,402
2017-06-01,S92000003,75plus,27189,906
2017-07-01,S08000015,18plus,2217,72
2017-07-01,S08000015,18-74,416,13
2017-07-01,S08000015,75plus,1801,58
2017-07-01,S08000016,18plus,1301,42
2017-07-01,S08000016,18-74,316,10
2017-07-01,S08000016,75plus,985,32
2017-07-01,S08000017,18plus,1060,34
2017-07-01,S08000017,18-74,145,5
2017-07-01,S08000017,75plus,915,30
2017-07-01,S08000019,18plus,2306,74
2017-07-01,S08000019,18-74,675,22
2017-07-01,S08000019,75plus,1631,53
2017-07-01,S08000020,18plus,3989,129
2017-07-01,S08000020,18-74,1065,34
2017-07-01,S08000020,75plus,2924,94
2017-07-01,S08000022,18plus,3665,118
2017-07-01,S08000022,18-74,760,25
2017-07-01,S08000022,75plus,2905,94
2017-07-01,S08000024,18plus,9232,298
2017-07-01,S08000024,18-74,2773,89
2017-07-01,S08000024,75plus,6459,208
2017-07-01,S08000025,18plus,80,3
2017-07-01,S08000025,18-74,30,1
2017-07-01,S08000025,75plus,50,2
2017-07-01,S08000026,18plus,77,2
2017-07-01,S08000026,18-74,21,1
2017-07-01,S08000026,75plus,56,2
2017-07-01,S08000028,18plus,447,14
2017-07-01,S08000028,18-74,75,2
2017-07-01,S08000028,75plus,372,12
2017-07-01,S08000029,18plus,2442,79
2017-07-01,S08000029,18-74,567,18
2017-07-01,S08000029,75plus,1875,60
2017-07-01,S08000030,18plus,3196,103
2017-07-01,S08000030,18-74,1397,45
2017-07-01,S08000030,75plus,1799,58
2017-07-01,S08000031,18plus,4228,136
2017-07-01,S08000031,18-74,1949,63
2017-07-01,S08000031,75plus,2279,74
2017-07-01,S08000032,18plus,6427,207
2017-07-01,S08000032,18-74,1966,63
2017-07-01,S08000032,75plus,4461,144
2017-07-01,S92000003,18plus,40667,1312
2017-07-01,S92000003,18-74,12155,392
